Country,Population,Land_Area,Density
Norway,"5,353,363","365,268",15
Oman,"4,829,946","309,500",16
Pakistan,"200,813,818","770,880",260
Palau,"21,964",460,48
Palestine State,"5,052,776","6,020",839
Panama,"4,162,618","74,340",56
Papua New Guinea,"8,418,346","452,860",19
Paraguay,"6,896,908","397,300",17
Peru,"32,551,815","1,280,000",25
Philippines,"106,512,074","298,170",357
Poland,"38,104,832","306,230",124
Portugal,"10,291,196","91,590",112
Qatar,"2,694,849","11,610",232
Romania,"19,580,634","230,170",85
Russia,"143,964,709","16,376,870",9
Rwanda,"12,501,156","24,670",507
Saint Kitts and Nevis,"55,850",610,260
Saint Lucia,"179,667",390,215
Saint Vincent and the Grenadines,"110,200","2,830",295
Samoa,"197,695",60,283
San Marino,"33,557",960,70
Sao Tome and Principe,"208,818","2,149,690",559
Saudi Arabia,"33,554,343","192,530",218
Senegal,"16,294,270","87,460",16
Serbia,"8,762,027",460,85
Seychelles,"95,235","72,180",100
Sierra Leone,"7,719,729",700,207
Singapore,"5,791,901","48,088",107
Slovakia,"5,449,816","20,140","8,274"
Slovenia,"2,081,260","27,990",113
Solomon Islands,"623,281","627,340",103
Somalia,"15,181,925","1,213,090",22
South Africa,"57,398,421","97,230",24
South Korea,"51,164,435","610,952",47
South Sudan,"12,919,053","498,800",526
Spain,"46,397,452","62,710",21
Sri Lanka,"20,950,041","1,765,048",93
Sudan,"41,511,526","156,000",334
Suriname,"568,301","17,200",24
Swaziland,"1,391,385","410,340",4
Sweden,"9,982,709","39,516",81
Switzerland,"8,544,034","183,630",24
Syria,"18,284,407","139,960",216
Tajikistan,"9,107,211","885,800",100
Tanzania,"59,091,392","510,890",65
Thailand,"69,183,173","14,870",67
Timor-Leste,"1,324,094","54,390",135
Togo,"7,990,926",720,89
Tonga,"109,008","5,130",147
Trinidad and Tobago,"1,372,598","155,360",151
Tunisia,"11,659,174","769,630",268
Turkey,"81,916,871","469,930",75
Turkmenistan,"5,851,466","199,810",106
Tuvalu,"11,287","579,320",12
Uganda,"44,270,563","83,600",30
Ukraine,"44,009,214","241,930",376
United Arab Emirates,"9,541,615","9,147,420",222
United Kingdom,"66,573,504","175,020",76
United States of America,"326,766,748",20,114
Uruguay,"3,469,551","425,400",275
Uzbekistan,"32,364,996","12,190",36
Vanuatu,"282,117","882,050",76
Venezuela,"32,381,221","310,070",23
Viet Nam,"96,491,146","527,970",37
Yemen,"28,915,284","743,390",311
Zambia,"17,609,178","386,850",55
